complaint_id,date_received,district_occurrence,general_cap_classification,summary
19-0359,7/24/19,16,HARASSMENT,"According to the complainant, on 7-19-19 at 1:05 PM, they have been harassed by an officer assigned to the 16th District."
19-0360,7/25/19,8,LACK OF SERVICE,"According to the complainant, on 7-22-19 at 1:00 PM, they did not receive proper service from an officer assigned to the 8th District."
19-0361,7/25/19,15,LACK OF SERVICE,"According to the complainant, on 7-10-19 at 10:00 AM, an officer assigned to the 15th District did not follow proper police procedure."
19-0362,7/25/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, officers assigned to the 16th District did not follow proper police procedure and that they did not receive proper service."
19-0363,7/24/19,#VALUE!,HARASSMENT,"According to the complainant, they have been harassed by an officer assigned to the Court Liaison Unit."
19-0364,7/25/19,6,LACK OF SERVICE,"According to the complainant, 7-17-19 at 11:30 AM, they did not receive proper service and were treated dismissively by officers assigned to the Traffic District within the confines of the 6th District."
19-0365,7/26/19,15,LACK OF SERVICE,"According to the complainant, 6-14-19 at 8:17 PM, they did not receive proper service from a sergeant and officers assigned to the 15th District."
19-0366,7/26/19,15,CRIMINAL ALLEGATION,"According to the complainant, on 7-23-19 at 6:00 PM, they are missing property and were treated unprofessionally by unknown detectives and officers within the confines of the 15th District."
19-0367,8/21/19,9,LACK OF SERVICE,"According to the complainant, 7-24-19 at 9:28 PM, they did not receive proper service from unknown officers within the confines of the 2nd District."
19-0368,7/30/19,19,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-24-19 at 9:45 PM, they were verbally abused by an officer assigned to the 19th District."
19-0369,7/30/19,14,VERBAL ABUSE,"According to the complainant, on 7-25-19 at 12:00 PM, they were verbally abused by an unknown officer assigned to the 14th District."
19-0370,8/5/19,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-24-19 at 4:25 AM, they were falsely arrested by officers assigned to the 24th District."
19-0371,8/6/19,6,VERBAL ABUSE,"According to the complainant, on 7-23-19 at 1:00 PM, they were verbally abused by a detective assigned to the Homicide Unit."
19-0372,8/5/19,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, they witnessed a false arrest of an unknown individual by officers assigned to the 17th district."
19-0373,8/8/19,19,PHYSICAL ABUSE,"According to the complainant, on 7-25-19 at 8:45 PM, they were physically abused and threatened by unknown officers while in the confines of the 19th District."
19-0374,8/5/19,22,VERBAL ABUSE,"According to the complainant, on 7-31-19 at 10:20 AM, they were verbally abused by an officer assigned to the 22nd District."
19-0375,8/13/19,35,HARASSMENT,"According to the complainant, since 2009, they have been harassed by officers assigned to the 35th and 15th District."
19-0376,8/8/19,18,LACK OF SERVICE,"According to the complainant, on 5-6-19 at 5:30 PM, they did not receive proper service from a police dispatcher and officers assigned to the 18th District while in the confines of the 12th District."
19-0377,8/8/19,19,PHYSICAL ABUSE,"According to the complainant, on 7-15-19 at 9:35 PM, they were physically abused by unknown officers while in the confines of the 19th District."
19-0378,8/8/19,77,LACK OF SERVICE,"According to the complainant, on 7-23-19, they did not receive proper service from an officer assigned to the Philadelphia International Airport."
19-0379,8/8/19,16,PHYSICAL ABUSE,"According to the complainant, on 8-1-19 at 5:30 PM, they were physically abused by officers while in the confines of the 16th District."
19-0380,8/8/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-3-19 at 8:20 PM, they were verbally abused by officers assigned to the 39th District."
19-0381,8/8/19,77,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-3-19 at 6:30 PM, they were treated unprofessionally by an officer assigned to the Airport District."
19-0382,8/8/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-31-19 at 6:30 AM, unknown officers did not follow proper police procedure within the confines of the 19th District."
19-0383,8/9/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 7-1-19 at 7:00 PM, their home was improperly entered, property was improperly seized by officers and information was falsified by detectives assigned to East Detective Division while in the confines of the 25th District."
19-0384,8/9/19,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-19 at 3:00 AM, officers assigned to the 26th District failed to follow departmental policies."
19-0385,8/9/19,14,LACK OF SERVICE,"According to the complainant, on 7-20-19 at 1:50 AM, they did not receive proper service from an officer assigned to the 14th District."
19-0386,8/12/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-3-19 at 5:33 PM, their property was not returned by officers while in the confines of the 19th District."
19-0387,8/8/19,2,CRIMINAL ALLEGATION,"According to the complainant, on 8-7-19 at 6:40 AM, they were threatened and verbally abused by a civilian Police Department employee while in the confines of the 2nd District."
19-0388,8/12/19,26,PHYSICAL ABUSE,"According to the complainant, on 4-7-14, they did not receive proper service and were physically abused by unknown officers while in the confines of the 22nd District."
19-0389,8/12/19,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-7-19 at 8:51 AM, they were treated unprofessionally by an officer assigned to the Traffic Unit while in the confines of the 9th District."
19-0390,8/13/19,19,VERBAL ABUSE,"According to the complainant, on 8-2-19 at 1:00 PM, they were verbally abused by a supervisor while in the confines of the 19th District."
19-0391,8/13/19,24,VERBAL ABUSE,"According to the complainant, on 7-31-19, they witnessed someone being verbally abused by an unknown officer while in the confines of the 24th District."
19-0392,8/15/19,16,PHYSICAL ABUSE,"According to the complainant, on 8-9-19 at 9:00 PM, they were physically abused by officers assigned to the 16th District."
19-0393,8/14/19,12,LACK OF SERVICE,"According to the complainant, on 8-6-19 at 12:29 AM, they did not receive proper service from unknown officers assigned to the 12th District."
19-0394,8/14/19,16,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-3-19 at 7:40 PM, they were racially profiled by unknown officers assigned to the 16th District."
19-0395,8/15/19,5,VERBAL ABUSE,"According to the complainant, on 8-12-19 at 7:39 PM, they were verbally abused by an officer assigned to the 5th District."
19-0396,8/14/19,6,PHYSICAL ABUSE,"According to the complainant, on 8-10-19 at 2:06 AM, they were physically abused by an officer assigned to the 6th District."
19-0397,8/15/19,15,UNPROFESSIONAL CONDUCT,"According to the complainant, between January and June 2019, they were treated unprofessionally and did not receive proper service from a detective assigned to the Special Victims Unit."
19-0398,8/15/19,39,PHYSICAL ABUSE,"According to the complainant, on 6-26-19 at 6:17 PM, they were physically abused and improperly searched by officers assigned to the 39th District."
19-0399,8/19/19,1,LACK OF SERVICE,"According to the complainant, on 8-2-19 at 5:15 PM, they did not receive proper service from officers while in the confines of the 1st District."
19-0400,8/15/19,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-19 at 7:00 AM, their property was not returned and they were treated unprofessionally by officers assigned to the 17th District."
19-0401,8/15/19,14,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-6-19 at 1:10 PM, they were racially profiled by officers assigned to the 14th District."
19-0402,8/15/19,22,VERBAL ABUSE,"According to the complainant, in August 2019, they were verbally abused by an officer assigned to the 22nd District."
19-0403,8/16/19,6,PHYSICAL ABUSE,"According to the complainant, on 8-6-19 at 10:50 AM, they were verbally abused and threatened by an officer within the confines of the 9th District."
19-0404,8/19/19,2,PHYSICAL ABUSE,"According to the complainant, on 8-14-19 at 2:00 PM, they were physically abused and threatened by officers while in the confines of the 2nd District."
19-0405,8/21/19,22,LACK OF SERVICE,"According to the complainant, on 7-31-19, they did not receive proper service from an unknown Northwest Detective Division detective."
19-0406,8/21/19,22,LACK OF SERVICE,"According to the complainant, on 8-14-19 at 2:00 PM, they did not receive proper service from unknown officers within the confines of the 22nd District."
19-0407,8/21/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-14-19 at 8:20 PM, they were treated unprofessionally and issued false traffic citations from an officer assigned to the Highway Patrol Unit, while in the confines of the 19th District."
19-0408,8/19/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-8-19 at 11:30 AM, they were treated unprofessionally and did not receive proper service from an officer assigned to the 25th District."
19-0409,8/21/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-19 at 2:00 AM, they did not receive proper service from officers assigned to the 24th District."
19-0410,8/21/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-16-19 at 10:15 PM, they were treated unprofessionally and falsely issued traffic tickets by officers assigned to the Highway Patrol Unit within the confines of the 39th District."
19-0411,9/3/19,39,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 8-17-19 at 12:40 AM, they were falsely issued traffic tickets by officers assigned to the 39th District."
19-0412,8/22/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-19-19 at 5:45 AM, their property was damaged and improperly searched by unknown officers within the confines of the 16th District."
19-0413,8/21/19,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-19, unknown officers did not follow proper police procedures within the confines of the 3rd District."
19-0414,8/22/19,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-11-19 at 5:57 PM, they are missing property and were improperly searched by an officer assigned to 14th District."
19-0415,8/23/19,12,PHYSICAL ABUSE,"According to the complainant, on 8-11-19 at 1:00 AM, an officer assigned to the 12th District damaged their property, and physically and verbally abused them."
19-0416,8/23/19,1,VERBAL ABUSE,"According to the complainant, on 8-1-19 at 12:30 AM, they were verbally abused by an officer assigned to the 1st District."
19-0417,8/26/19,17,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-20-19 at 10:50 AM, they were racially profiled and harassed by officers assigned to the 17th District."
19-0418,8/23/19,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-17-19 at 7:25 AM, they were verbally abused and threatened by a sergeant assigned to the 12th District."
19-0419,8/26/19,35,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-21-19 at 6:00 PM, they were treated unprofessionally and were racially profiled by an officer assigned to the 35th District."
19-0420,8/26/19,7,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-15-19 at 8:26 AM, they received confidential information pertaining to their complaint against police from an unofficial source."
19-0421,8/28/19,24,LACK OF SERVICE,"According to the complainant, on 8-18-19 at 6:00 PM, they did not receive proper service from an officer while in the confines of the 24th District."
19-0422,8/29/19,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-24-19 at 1:00 AM, they were verbally abused, improperly stopped and falsely issued a ticket by officers assigned to the 24th District."
19-0423,8/28/19,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-14-19 at 2:15 PM, they were verbally abused and treated unprofessionally by an officer while in the confines of the 9th District."
19-0424,8/27/19,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-03-19 at 1:56 PM, an officer from the 24th District did not follow proper policy."
19-0425,8/29/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-22-19 at 12:06 PM, officers did not follow proper departmental procedures while in the confines of the 16th District."
19-0426,9/3/19,18,LACK OF SERVICE,"According to the complainant, on 8-6-19, they did not receive proper service from an officer assigned to the 18th District and a detective, assigned to Southwest Detective Division."
19-0427,8/29/19,7,VERBAL ABUSE,"According to the complainant, on 8-17-19 at 11:30 PM, they were verbally abused by an officer while in the confines of the 7th District."
19-0428,9/3/19,39,LACK OF SERVICE,"According to the complainant, on 8-12-19 at 7:42 AM, they did not receive proper service from officers assigned to the 39th District."
19-0429,8/29/19,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-1-19 at 4:00 PM, their property was damaged and they were physically abused by unknown officers within the confines of the 26th District."
19-0430,9/3/19,6,LACK OF SERVICE,"According to the complainant, on 7-11-19, they were treated unprofessionally and did not receive proper service from an unknown detective assigned to Central Detective Division."
19-0431,9/16/19,14,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-26-19 at 4:30 PM, they were falsely issued a ticket by unknown officers assigned to the 14th District."
19-0432,9/3/19,14,HARASSMENT,"According to the complainant, on 8-14-19 at 9:57 PM, they were harassed by an officer assigned to the 14th district."
19-0433,9/3/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-23-19, they are missing property and were falsely arrested by unknown officers within the confines of the 25th District."
19-0434,9/3/19,39,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-29-19 at 1:00 PM, they were treated unprofessionally by an unknown supervisor within the confines of the 39th District."
19-0435,9/3/19,1,VERBAL ABUSE,"According to the complainant, on 8-29-19 at 5:26 PM, they were verbally abused and did not receive proper service from an officer assigned to the 1st District"
19-0436,9/4/19,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-13-19, while in the confines of the 12th District, did not receive proper service and were treated unprofessionally by officers assigned to the 18th District."
19-0437,9/4/19,39,LACK OF SERVICE,"According to the complainant, on 8-28-19 at 12:30 AM, they did not receive proper service from officers assigned to the 39th District."
19-0438,9/5/19,24,LACK OF SERVICE,"According to the complainant, on 8-20-19 at 9:30 AM, they did not receive proper service from an officer assigned to the 24th District and a Detective assigned to East Detective Division."
19-0439,9/5/19,25,LACK OF SERVICE,"According to the complainants, on 8-21-19, they were treated unprofessionally and did not receive proper service from a sergeant assigned to the 25th District."
19-0440,9/5/19,2,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 4-19-19, a detective assigned to the Central Dective Division, misused the police departmental computer system and vandalized her property."
19-0441,9/9/19,3,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 3rd District."
19-0442,9/5/19,15,LACK OF SERVICE,"According to the complainants, they did not receive proper service from unknown officers while in the confines of the 15th, 24th, and 25th Districts."
19-0443,9/5/19,3,PHYSICAL ABUSE,"According to the complainants, on 8-26-19 at 1:30 AM, they were physically abused and property was not returned by officers while in the confines of the 3rd District."
19-0444,9/10/19,12,LACK OF SERVICE,"According to the complainant, on 8-6-19 at 10:19 PM, they did not receive proper service from 12th District officers."
19-0445,9/10/19,16,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-12-19 at 9:50 PM, they were treated unprofessionally by officers while in the confines of the 16th District."
19-0446,9/10/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-1-19 at 4:44 PM, their property was not returned to them by an officer assigned to the 22nd District."
19-0447,9/11/19,6,VERBAL ABUSE,"According to the complainant, on 8-20-19 at 2:00 PM, they were verbally abused by an officer within the confines of the 6th District."
19-0448,9/11/19,17,VERBAL ABUSE,"According to the complainant, on 8-19-19 at 10:30 PM, they were verbally abused by an officer assigned to the 17th District."
19-0449,9/10/19,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-6-19 at 4:00 PM, they did not receive proper service from unknown officers assigned to the 18th District."
19-0450,9/10/19,14,CRIMINAL ALLEGATION,"According to the complainant, on 9-8-19 at 6:00 PM, they were verbally abused, improperly stopped and searched by unknown officers assigned to the 14th District and are also missing money."
19-0451,9/11/19,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-4-19 at 3:00 AM, they were stereotyped and legal documents falsified by an officer assigned to the 2nd District."
19-0452,9/12/19,35,DOMESTIC,"According to the complainant, on 8-31-19, they were physically abused by an off-duty officer assigned to the 25th District who also abused their police authority while in the confines of the 35th District."
19-0453,9/11/19,39,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-9-19, they reported corruption they viewed on a YouTube video, in the confines of the 39th District."
19-0454,9/17/19,19,LACK OF SERVICE,"According to the complainants, on 9-10-19 at 5:55 PM, they did not receive proper service from officers assigned to the 19th District."
19-0455,9/16/19,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, 9-6-19 at 11:00 PM, they were falsely arrested and did not receive proper service from a South Detective Division detective and unknown officers assigned to the 1st District."
19-0456,9/11/19,12,LACK OF SERVICE,"According to the complainant, on 7-24-19 at 4:14 PM, they did not receive proper service from a 12th District officer."
19-0457,9/13/19,77,LACK OF SERVICE,"According to the complainant, on 01-10-18 at 10:00 AM, they did not receive proper service from an officer at the airport."
19-0458,9/17/19,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-9-19 at 1:30 AM, they did not receive proper service and were harassed by an officer assigned to the 15th District along with other unknown officers."
19-0459,9/17/19,14,PHYSICAL ABUSE,"According to the complainant, they were physically abused by officers assigned to the 14th District."
19-0460,9/17/19,15,VERBAL ABUSE,"According to the complainant, on 9-11-19 at 4:32 PM, they were verbally abused by an off duty officer assigned to the Research and Planning Unit within the confines of the 15th District."
19-0461,9/17/19,12,PHYSICAL ABUSE,"According to the complainant, on 9-9-19 at 12:53 PM, they were physically abused by an officer assigned to the Criminal Intelligence Unit within the confines of the 12th District."
19-0462,9/17/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-12-19, their property was not returned by unknown officers while in the confines of the 25th District."
19-0463,9/17/19,35,PHYSICAL ABUSE,"According to the complainants, on 9-11-19 at 10:40 PM, they were physically and verbally abused by officers assigned to the 35th District."
19-0464,9/17/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-11-19 at 9:00 PM, they were improperly stopped and searched by officers assigned to the 26th District."
19-0465,9/17/19,35,PHYSICAL ABUSE,"According to the complainant, on 9-12-19 at 5:00 PM, they did not receive proper service and were treated unprofessionally by officers assigned to the 35th District, who also used excessive force when stopping a relative."
19-0466,9/16/19,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-6-19 at 9:24 PM, they were improperly ticketed and did not receive proper service from officers assigned to the 24th District."
19-0467,9/16/19,2,HARASSMENT,"According to the complainant, since 5-8-19, while in the confines of the 2nd District, they are being harassed by off-duty officers assigned to the 12th District."
19-0468,9/17/19,22,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-4-19 at 10:45 PM, they were treated unprofessionally and verbally abused by an officer assigned to the 22nd District."
19-0469,9/18/19,25,LACK OF SERVICE,"According to the complainant, on 9-11-19 at 4:30 PM, they did not receive proper service from an officer assigned to the 25th District."
19-0470,9/17/19,15,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-11-19 at 11:30 PM, they were physically abused and did not receive proper service from officers and a sergeant assigned to the 15th District."
19-0471,9/18/19,3,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-14-19, they were racially profiled and treated unprofessionally by an officer from the 3rd District."
19-0472,9/17/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-12-19 at 3:24 PM, they posted a video of social media showing an improper pedestrian investigation by an officer while in the confines of the 22nd District."
19-0473,9/18/19,14,LACK OF SERVICE,"According to the complainant, on 9-2-19 at 2:00 PM, they did not receive proper service from unknown 14th District officers."
19-0474,9/18/19,16,LACK OF SERVICE,"According to the complainant, on 9-15-19 at 9:00 PM, they did not receive proper service from unknown 16th District officers."
19-0475,9/20/19,25,PHYSICAL ABUSE,"According to the complainant, on 9-5-19 at 8:05 PM, they were physically abused by officers assigned to the 24th and 25th Districts."
19-0476,9/19/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-26-18 at 10:00 AM, they were falsely arrested by detectives assigned to Central Detective Division."
19-0477,9/19/19,35,LACK OF SERVICE,"According to the complainant, in July of 2019, they did not receive proper service from a detective assigned to Northwest Detective Division."
19-0478,9/19/19,24,CRIMINAL ALLEGATION,"According to the complainant, on 9-14-19 at 6:00 PM, they discovered that personal property had been taken without their permission by unknown officers within the confines of the 24th District."
19-0479,9/19/19,18,PHYSICAL ABUSE,"According to the complainant, on 9-15-19 at 4:30 PM, they were physically abused by officers assigned to the 18th District."
19-0480,9/19/19,6,LACK OF SERVICE,"According to the complainant, on 9-11-19 at 11:39 PM, they did not receive proper service from a 911 police communications employee while in the confines of the 6th District."
19-0481,9/19/19,19,PHYSICAL ABUSE,"According to the complainant, on 12-26-18 at 12:00 PM, they were physically abused by officers assigned to the 19th District."
19-0482,9/20/19,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-6-19 at 6:30 PM, they were treated unprofessionally by unknown officers within the confines of the 25th District."
19-0483,9/19/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-18-19 at 6:35 PM, unknown officers did not follow proper police procedure within the confines of the 39th District."
19-0484,9/24/19,19,LACK OF SERVICE,"According to the complainant, on 9-14-19 at 5:40 PM, they did not receive proper service from an officer assigned to the 19th District."
19-0485,9/23/19,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-18-19 at 10:00 PM, their property was damaged by an officer assigned to the 14th District."
19-0486,9/24/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-4-19 at 6:06 PM, an officer assigned to the 16th District, did not follow proper police procedure."
19-0487,9/24/19,22,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-20-19 at 1:16 PM, they were treated unprofessionally by a police communications dispatcher within the confines of the 6th District."
19-0488,9/24/19,22,LACK OF SERVICE,"According to the complainant, on 9-14-19 at 2:30 PM, they did not receive proper service from officers assigned to the 22nd District."
19-0489,9/24/19,9,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-18-19 at 9:30 AM, their civil rights were violated and proper police procedures were not followed by a 9th District officer."
19-0490,9/25/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-23-19 at 2:25 PM, their property was taken by unknown officers and not returned while in the confines of the 24th District."
19-0491,9/24/19,2,PHYSICAL ABUSE,"According to the complainant, on 9-24-19 at 5:15 AM, they were verbally abused and threatened by an unknown off-duty officer while in the confines of the 2nd District."
19-0492,9/25/19,6,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-14-19 at 9:00 PM, they were verbally abused and treated unprofessionally by an officer while in the confines of the 6th District."
19-0493,9/25/19,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-27-19, their property is missing and was not returned by unknown officers within the confines of the 24th District."
19-0494,9/25/19,15,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-7-19 at 8:35 AM, they were racially discriminated and did not receive proper service from an officer assigned to the 15th District."
19-0495,9/26/19,1,PHYSICAL ABUSE,"According to the complainant, on 8-27-19 at 12:35 AM, they were physically abused and racially profiled by officers assigned to the 1st District."
19-0496,9/27/19,18,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 9-19-19, they were improperly stopped and received tickets from an officer assigned to the 19th District."
19-0497,9/30/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 12:51 PM, they were physically and verbally abused by officers assigned to the 19th District."
19-0498,10/1/19,16,VERBAL ABUSE,"According to the complainant, on 9-22-19 at 12:30 PM, they were verbally abused and improperly stopped by an unknown officer within the confines of the 16th District."
19-0499,10/2/19,22,LACK OF SERVICE,"According to the complainant, on 9-22-19 at 2:00 AM, they did not receive proper service from an officer assigned to the 22nd District."
19-0500,10/1/19,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-24-19 at 11:55 AM, they are missing money and their property was damaged by an officer assigned to the Narcotics Field Unit within the confines of the 3rd District."
19-0501,10/1/19,25,PHYSICAL ABUSE,"According to the complainant, on 9-29-19 at 2:23 AM, they were physically abused by unknown officers while in the confines of the 25th District."
19-0502,10/2/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-24-19 at 6:09 PM, they were physically abused, improperly stopped and searched by officers assigned by 39th District."
19-0503,10/2/19,77,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-29-19 at 3:50 PM, their civil rights were violated and they were improperly issued a ticket by an officer assigned to the Airport District."
19-0504,10/3/19,22,LACK OF SERVICE,"According to the complainant, on 9-27-19 and 9-28-19, they did not receive proper service from unknown 911 dispatchers within the confines of the 22nd District."
19-0505,10/3/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-12-19 at 4:40 PM, their property was damaged and not returned by officers assigned to the 16th District."
19-0506,10/4/19,19,VERBAL ABUSE,"According to the complainant, on 10-2-19 at 4:00 PM, they were verbally abused by an officer assigned to the 19th District."
19-0507,10/7/19,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-2-19 at 7:40 PM, they were improperly issued a ticket by officers assigned to the 18th District."
19-0508,10/4/19,6,PHYSICAL ABUSE,"According to the complainant, on 10-1-19 at 4:38 PM, they were improperly searched and physically abused by an officer assigned to the 6th District."
19-0509,10/7/19,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-1-19 at 1:36 PM, they were treated unprofessionally and improperly ticketed by an officer assigned to the 12th District."
19-0510,10/7/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-2-19 at 5:29 PM, their property was not returned to them and they were treated unprofessionally by an officer assigned to the 39th District."
19-0511,10/9/19,17,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-2-19, they allege that an officer assigned to the 19th District, committed fraud."
19-0512,10/9/19,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-19 at 5:00 PM, their property was taken unlawfully, and were treated unprofessionally by officers within the confines of the 12th District."
19-0513,10/9/19,25,LACK OF SERVICE,"According to the complainant, on 10-2-19 at 12:45 PM, they did not receive proper service from officers assigned to the 25th District."
19-0514,10/9/19,1,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to the Delaware Valley Intelligence Center violated departmental policies while in the confines of the 1st District."
19-0515,10/9/19,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-4-19 at 8:00 PM, they were improperly stopped/detained and improperly issued a citation while in the confines of the 22nd District."
19-0516,10/9/19,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-19 at 7:30 PM, they were improperly searched and detained by unknown officers within the confines of the 14th District."
19-0517,10/10/19,8,VERBAL ABUSE,"According to the complainant, on 10-7-19 at 6:36 AM, they were verbally abused by an unknown off duty officer within the confines of the 8th District."
19-0518,10/9/19,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-7-19, their property was taken by police and not returned while in the confines of the 24th District."
19-0519,10/10/19,16,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-5-19 at 11:45 PM, they were improperly ticketed and treated unprofessionally by officers assigned to the 17th District."
19-0520,10/17/19,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-1-19 at 3:00 PM, they did not receive proper service from an officer assigned to the 2nd District."
19-0521,10/10/19,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-8-19 at 7:45 PM, they were harassed by officers assigned to the 16th District."
19-0522,10/10/19,17,HARASSMENT,"According to the complainant, on 9-6-19 at 5:00 PM, their vehicle was improperly searched and they were harassed by officers assigned to the 17th District."
19-0523,10/17/19,39,PHYSICAL ABUSE,"According to the complainant, on 10-8-19 at approximately 4:00 PM, their property was damaged and they were physically abused by unknown officers within the confines of the 39th District."
19-0524,10/15/19,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-2-19, they were improperly stopped and their car was illegally searched by unknown officers within the confines of the 18th District."
19-0525,10/15/19,7,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-19 at 10:30AM, they did not receive proper service from unknown officers assigned to the 7th District."
19-0526,10/15/19,16,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-20-19 at 5:30 PM, they were treated in a rude dismissive manner and did not receive proper service from an officer assigned to the 16th District."
19-0527,10/15/19,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-9-19 at 1:45 PM, they were falsely detained and had their property improperly confiscated by an officer assigned to the 39th District along with other unknown officers."
19-0528,10/16/19,2,LACK OF SERVICE,"According to the complainant, on 8-18-19 at 8:00 AM, they did not receive proper service from a detective assigned to the Northeast Detective Division."
19-0529,10/17/19,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-4-19 at 5:00 PM, an off-duty detective abused their authority and violated departmental policies within the confines of the 19th District."
19-0530,10/17/19,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-19, unknown officers failed to follow and violated departmental policies while in the confines of the 12th District."
19-0531,10/17/19,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-6-19, they were treated unprofessionally by a detective and unknown officers failed to follow departmental policies while in the confines of the 12th District."
19-0532,10/23/19,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-9-19 at 3:00 PM, officers failed to follow departmental policies while in the confines of the 35th District."
